Source Term	Target Term
spiking	fortificación
electrophoretic deposition	recubrimiento electroforético
fixed-bed filter	filtro de lecho fijo
hot-melt adhesive	cola termoplástica
kinase	quinasa
tricarboxylic acid cycle	ciclo de ácido cítrico
1H-pyrimidine-2,4-dione	uracilo
turbidity	turbiedad
mixing	mezclado
concentration	concentración
glyoxal	glioxal
electrocoating	electrorrecubrimiento
chemicals data	datos sobre sustancias químicas
diol	alcohol dihídrico
fraction	corte
solvated electron	electrón solvatado
ruggedness	robustez
agitator	agitador
Hydride AAS	espectrometría de absorción atómica de generación de hidruros
hydrogen chloride	cloruro de hidrógeno
monoterpene	monoterpeno
non-dioxin-like polychlorinated biphenyl	PCB no similar a la dioxina
protein kinase	proteinquinasa
sample blank determination	blanco
plastic multi-layer	plástico multicapa
metallic hydrogen	hidrógeno metálico
ethylene dichloride	1,2-dicloroetano
struvite	estruvita
sodium carbonate	carbonato de sodio
organic compound	compuesto orgánico
heavy metal	metal pesado
polyhydroxyalkanoate	PHA
LB-sum	suma del límite inferior
saponification	saponificación
curtain coating	extendido por cortina
acid salt	sal ácida
carboxylic acid	acido carboxilico
cell-based assay	análisis en células
gas evolution	producción de gas
WHO-TEQ	EQT-OMS
alcohol dehydrogenase	alcohol deshidrogenasa
caustic soda	sosa cáustica
corrosiveness	corrosividad
hexachlorocyclohexane	HCH
chain transfer	transferencia de cadena
dichloroethane	dicloroetano
furan	furano
polyethylene	polietileno
atomic absorption spectroscopy	espectrometría de absorción atómica
SBP solvent	alcohol industrial
hydrophobic	hidrófobo
ethylcellulose	etilcelulosa
isobaric ion	ion isobárico
pyrimidine	pirimidina
ω3-polyunsaturated fatty acid	ácido graso omega-3
radiation curing	curado por radiación
carbon dioxide	gas carbónico
extraction	extracción
CFC	CFC
existing process heater	calentador de proceso existente
ammonium ion	amonio
aminosugar	osamina
coverage factor	factor de cobertura
kieserite	kieserita
diethyl phthalate	ftalato de dietilo
flame retardant	retardante de llama
uric acid	ácido úrico
high-pressure liquid chromatography	cromatografía líquida de alto rendimiento
FTOH	alcohol fluorotelomérico
chemically modified natural polymer	polímero natural modificado químicamente
PVC slurry	lechada de PVC
phenol red	rojo de fenol
solvent blank	blanco del disolvente
time-proportional sample	muestra proporcional al tiempo
spent solvent	disolvente usado
confirmatory test	prueba confirmativa
goodness of fit	precisión del ajuste
ethyl acrylate	acrilato etílico
accordance check	comprobación de conformidad
analytical method	método analítico
ozone	ozono
MOAH	MOAH
copper sulfate	sulfato de cobre
